TOUCHPOINT_DATETIME;RESPONSE_DATE;CHURNED_SINCE_FEEDBACK;CUSTOMERM_LEGS_ENUM;FIX_VOICE_PRODUCT_YN;FIX_BB_PRODUCT_YN;MOBILE_PRODUCT_YN;TV_PRODUCT_YN;RELATIONSHIP_NPS;CUSTOMER_AGE_CATEGOR_ENUM;OPEN_COMMENT_CMT
26.08.2023 01:08;01.09.2023 18:44;no;MOBILE ONLY;No;No;Yes;No;6;45-54;"In Demand 
sollte verbessert werden - lieber Werbung für Filme machen die sie zeitnah - jetzt anbieten und nicht irgendwann.
Finde ich sehr komisch - ich geh ja insKono weil ich einen bestimmten Film sehen möchte und nicht die Werbung, dass er irgendwann kommt aber keine Ahnung wann:-/"
26.08.2023 01:08;01.09.2023 14:57;no;FIXED ONLY;Yes;Yes;No;Yes;4;45-54;Magenta tv funktioniert bei mir nicht
26.08.2023 01:08;01.09.2023 08:45;no;CONVERGED;No;Yes;Yes;No;9;35-44;Internet ist eine Katastrophe!! Wir haben den Vertrag mit 250 mbit. Und bekommen im höchstfall 130 mbit. Darum wenn der Vertrag aus geht, werde ich bestimmt zu einen anderen Anbieter wechseln.
26.08.2023 01:08;01.09.2023 09:40;no;MOBILE ONLY;No;No;Yes;No;9;35-44;"Ich hätte gerne Kraki zurück :-) 
Ansonsten bin ich zufrieden"
26.08.2023 01:08;02.09.2023 07:25;no;MOBILE ONLY;No;No;Yes;No;10;25-34;Würde mir wünschen, das bei Kunden die mehrere Produkte bei euch haben eventuell größere Rabatte oder der gleichen erhalten.
26.08.2023 01:08;01.09.2023 11:53;no;CONVERGED;No;Yes;Yes;No;3;35-44;"Preis/Leistung soll verbessert werden
Hotline erreichbarkeit"
26.08.2023 01:08;01.09.2023 11:14;no;FIXED ONLY;Yes;Yes;No;Yes;10;75+;Habe schon 2mal das Einschaltgerät gewechselt,beide male funktioniert die Lautstärke nicht
26.08.2023 01:08;01.09.2023 09:38;no;FIXED ONLY;Yes;Yes;No;Yes;4;65-74;Sendungen nachträglich ansehen funktioniert nicht immer optimal. Einschalten des Fernsehers dauert zu lange.
26.08.2023 01:08;01.09.2023 09:48;no;FIXED ONLY;Yes;Yes;No;Yes;10;55-64;"Vorgängerapp bei Magenta TV war mir lieber, 
da bei Programmwahl nicht extra nach Bundesland oder verschiedenen Sendern ausgewählt werden musste."
26.08.2023 01:08;01.09.2023 09:37;no;FIXED ONLY;Yes;Yes;No;Yes;10;65-74;Speicher in der Box ist sehr schnell voll
27.08.2023 01:08;01.09.2023 09:47;no;MOBILE ONLY;No;No;Yes;No;10;55-64;Alles gut.
27.08.2023 01:08;01.09.2023 14:13;no;MOBILE ONLY;No;No;Yes;No;6;45-54;"Netzstabilität könnte besser sein !
A1 ist viel stabiler und in meiner Umgebung auch besser"
